,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
大変,0.0,0.0,0.0,0.0,0.0,23.0,24.0
頗る,0.0,0.0,0.0,0.0,0.0,10.0,1.0
然し,0.0,0.0,0.0,0.0,0.0,69.0,0.0
大して,0.0,0.0,0.0,0.0,0.0,1.0,3.0
一寸,0.0,0.0,0.0,0.0,0.0,44.0,0.0
能く,0.0,0.0,0.0,0.0,0.0,30.0,4.0
大抵,0.0,0.0,0.0,0.0,0.0,17.0,11.0
余っ程,0.0,0.0,0.0,0.0,0.0,10.0,0.0
ぽつねん,0.0,0.0,0.0,0.0,0.0,1.0,0.0
猶,0.0,0.0,0.0,0.0,0.0,33.0,1.0
あたかも,0.0,0.0,0.0,0.0,0.0,6.0,7.0
必竟,0.0,0.0,0.0,0.0,0.0,8.0,8.0
敢て,0.0,0.0,0.0,0.0,0.0,9.0,0.0
のらくら,0.0,0.0,0.0,0.0,0.0,8.0,0.0
暗に,0.0,0.0,0.0,0.0,0.0,4.0,5.0
中々,0.0,0.0,0.0,0.0,0.0,21.0,0.0
ただちに,0.0,0.0,0.0,0.0,0.0,1.0,0.0
取敢えず,0.0,0.0,0.0,0.0,0.0,1.0,0.0
色々,0.0,0.0,0.0,0.0,0.0,21.0,22.0
凝と,0.0,0.0,0.0,0.0,0.0,23.0,20.0
がらがら,0.0,0.0,0.0,0.0,0.0,1.0,1.0
どさり,0.0,0.0,0.0,0.0,0.0,2.0,0.0
些とも,0.0,0.0,0.0,0.0,0.0,13.0,3.0
余程,0.0,0.0,0.0,0.0,0.0,7.0,0.0
しんみり,0.0,0.0,0.0,0.0,0.0,1.0,0.0
大分,0.0,0.0,0.0,0.0,0.0,36.0,7.0
寧ろ,0.0,0.0,0.0,0.0,0.0,42.0,0.0
漸く,0.0,0.0,0.0,0.0,0.0,21.0,2.0
とにかく,0.0,0.0,0.0,0.0,0.0,2.0,15.0
極めて,0.0,0.0,0.0,0.0,0.0,10.0,11.0
忽然,0.0,0.0,0.0,0.0,0.0,2.0,2.0
当分,0.0,0.0,0.0,0.0,0.0,12.0,10.0
安々,0.0,0.0,0.0,0.0,0.0,1.0,0.0
只,0.0,0.0,0.0,0.0,0.0,10.0,0.0
現に,0.0,0.0,0.0,0.0,0.0,2.0,5.0
近々,0.0,0.0,0.0,0.0,0.0,2.0,0.0
但し,0.0,0.0,0.0,0.0,0.0,2.0,0.0
宜しく,0.0,0.0,0.0,0.0,0.0,6.0,2.0
単に,0.0,0.0,0.0,0.0,0.0,6.0,6.0
何れ,0.0,0.0,0.0,0.0,0.0,2.0,0.0
